ar,bn,en,es,fr,hi,ja,ko,pa,pt,ru,tr,uk,vi,zh
القابلة التقليدية,ঐতিহ্যবাহী মিডওয়াইফ (ধাত্রী),Traditional Midwife,Partero(a) Tradicional,Accoucheuse traditionnelle,पारंपरिक दाई,伝統的な助産師,전통 조산사,ਰਵਾਇਤੀ ਦਾਈ,Parteiro(a) Tradicional,Традиционная акушерка,Geleneksel Ebe,Традиційна акушерка,Nữ hộ sinh truyền thống,传统助产士
أخصائي الوخز بالإبر,অ্যাকুপাঙ্কচারিস্ট,Acupuncturist,Acupunturista,Acupuncteur,एक्यूपंक्चर,鍼灸師,침술사,ਐਕਿਉਪੰਕਚਰ ਮਾਹਿਰ,Acupunturista,Специалист по акупунктуре / Иглорефлексотерапевт,Akupunktur Uzmanı,Голкорефлексотерапевт,Bác sĩ châm cứu,针灸师
أخصائي الإدمان,আসক্তি বিশেষজ্ঞ,Addiction Specialist,Especialista en Adicciones,Spécialiste en toxicomanie,व्यसन विशेषज्ञ,依存症専門家,중독 전문가,ਨਸ਼ਾ ਛੁਡਾਊ ਮਾਹਿਰ,Especialista em Dependência Química,Специалист по лечению зависимостей / Нарколог,Bağımlılık Uzmanı,Нарколог,Chuyên gia điều trị nghiện,成瘾治疗专家
مدير الرعاية الصحية,স্বাস্থ্যসেবা প্রশাসক,Healthcare Administrator,Administrador(a) de Salud,Administrateur de la santé,स्वास्थ्य सेवा प्रशासक,医療管理者,보건의료 관리자,ਸਿਹਤ ਸੰਭਾਲ ਪ੍ਰਬੰਧਕ,Administrador(a) de Saúde,Администратор в сфере здравоохранения,Sağlık Yöneticisi,Адміністратор системи охорони здоров'я,Quản trị viên y tế,医疗保健管理员
وكيل لإدارة ADRi و CDR,ADRi এবং CDR ব্যবস্থাপনার এজেন্ট,Agent for ADRi and CDR Management,Agente de Gestión de ADRi y CDR,Agent pour la gestion ADRi et CDR,ADRi और CDR प्रबंधन के लिए एजेंट,ADRi・CDR管理担当者,ADRi 및 CDR 관리 담당자,ADRi ਅਤੇ CDR ਪ੍ਰਬੰਧਨ ਨੁਮਾਇੰਦਾ,Agente de Gestão de ADRi e CDR,Агент по управлению ADRi и CDR,ADRi ve CDR Yönetim Temsilcisi,Агент з управління ADRi та CDR,Đại lý quản lý ADRi và CDR,ADRi及CDR管理专员
وكيل لإرجاعات No_mie,No_mie রিটার্নস এজেন্ট,Agent for No_mie Returns,Agente de Devoluciones No_mie,Agent pour No_mie Returns,No_mie रिटर्न्स के लिए एजेंट,NO_MIE返品担当者,NO_MIE 반품 처리 담당자,NO_MIE ਵਾਪਸੀ ਨੁਮਾਇੰਦਾ,Agente de Retornos NO_MIE,Агент по обработке возвратов NO_MIE,NO_MIE İade Temsilcisi,Агент з обробки повернень No_mie,Đại lý xử lý từ chối NO_MIE,NO_MIE退货处理专员
وكيل لتدفق RC/RO,RC/RO ফ্লো এজেন্ট,Agent for RC/RO Flow,Agente de Flujo RC/RO,Agent pour flux RC/RO,आरसी/आरओ फ्लो के लिए एजेंट,RC/ROフロー担当者,RC/RO 흐름 관리 담당자,RC/RO ਪ੍ਰਵਾਹ ਨੁਮਾਇੰਦਾ,Agente de Fluxo RC/RO,Агент по управлению потоками RC/RO,RC/RO Akış Temsilcisi,Агент з управління потоками RC/RO,Đại lý luồng RC/RO,RC/RO流程专员
وكيل استقبال الطوارئ,জরুরী অভ্যর্থনা এজেন্ট,Emergency Reception Agent,Agente de Recepción de Emergencias,Agent d'accueil d'urgence,आपातकालीन स्वागत एजेंट,緊急受付担当,응급실 접수 담당자,ਐਮਰਜੈਂਸੀ ਰਿਸੈਪਸ਼ਨ ਕਰਮਚਾਰੀ,Agente de Recepção de Emergência,Сотрудник приёмного отделения,Acil Durum Kabul Görevlisi,Агент екстреного прийому,Nhân viên tiếp nhận khẩn cấp,急诊接待员
عامل تنظيف متخصص لغرفة العمليات,অপারেটিং রুম বিশেষায়িত ক্লিনিং এজেন্ট,Operating Room Specialized Cleaning Agent,Agente de Limpieza Especializado(a) en Quirófano,Agent de nettoyage spécialisé pour salle d'opération,ऑपरेटिंग रूम विशेष सफाई एजेंट,手術室専門クリーニング担当,수술실 전문 청소 담당자,ਆਪ੍ਰੇਸ਼ਨ ਥੀਏਟਰ ਸਫ਼ਾਈ ਮਾਹਿਰ,Agente de Limpeza Especializado(a) de Centro Cirúrgico,Специалист по уборке операционных,Ameliyathane Uzman Temizlik Personeli,Спеціалізований прибиральник операційної,Nhân viên vệ sinh chuyên biệt phòng mổ,手术室保洁专员
وكيل الفواتير الصحية,স্বাস্থ্য বিলিং এজেন্ট,Health Billing Agent,Agente de Facturación de Salud,Agent de facturation des soins de santé,स्वास्थ्य बिलिंग एजेंट,医療費請求担当,의료비 청구 담당자,ਸਿਹਤ ਬਿਲਿੰਗ ਕਰਮਚਾਰੀ,Agente de Faturamento Médico,Специалист по выставлению медицинских счетов,Sağlık Faturalandırma Temsilcisi,Агент з виставлення рахунків за медичні послуги,Nhân viên thanh toán y tế,医疗账单专员
وكيل إدارة حقوق المرضى,রোগীর অধিকার ব্যবস্থাপনা এজেন্ট,Patient Rights Management Agent,Agente de Gestión de Derechos del Paciente,Agent de gestion des droits des patients,रोगी अधिकार प्रबंधन एजेंट,患者権利管理担当,환자 권리 관리 담당자,ਮਰੀਜ਼ ਅਧਿਕਾਰ ਪ੍ਰਬੰਧਨ ਨੁਮਾਇੰਦਾ,Agente de Gestão de Direitos do Paciente,Агент по защите прав пациентов,Hasta Hakları Yönetim Temsilcisi,Агент з управління правами пацієнтів,Nhân viên quản lý quyền bệnh nhân,患者权利管理专员
عامل مضاد للملاريا,অ্যান্টি-ম্যালেরিয়া এজেন্ট,Anti-Malaria Agent,Agente Antipalúdico(a),Agent antipaludique,मलेरिया रोधी एजेंट,抗マラリア担当員,항말라리아 요원,ਮਲੇਰੀਆ-ਰੋਕੂ ਕਰਮਚਾਰੀ,Agente Antimalárico,Сотрудник по борьбе с малярией,Sıtmayla Mücadele Görevlisi,Агент з протималярійних заходів,Nhân viên phòng chống sốt rét,抗疟疾工作者
وكيل تقديم الطعام الصحي الجماعي,স্বাস্থ্য সম্মিলিত ক্যাটারিং এজেন্ট,Health Collective Catering Agent,Agente de Restauración Colectiva en Salud,Agent de restauration collective de santé,स्वास्थ्य सामूहिक खानपान एजेंट,保健集団給食担当,보건 단체급식 담당자,ਸਿਹਤ ਸਮੂਹ ਕੇਟਰਿੰਗ ਕਰਮਚਾਰੀ,Agente de Catering Coletivo,Сотрудник по организации коллективного питания,Sağlık Kurumları Toplu Yemek Hizmetleri Temsilcisi,Агент з колективного харчування в закладах охорони здоров'я,Nhân viên phục vụ ăn uống tập thể trong y tế,医疗集体餐饮专员
وكيل الصحة المجتمعية,কমিউনিটি হেলথ এজেন্ট,Community Health Agent,Agente de Salud Comunitaria,Agent de santé communautaire,सामुदायिक स्वास्थ्य एजेंट,地域保健員,지역사회 보건요원,ਕਮਿਊਨਿਟੀ ਸਿਹਤ ਵਰਕਰ,Agente Comunitário(a) de Saúde,Общественный медработник,Toplum Sağlığı Çalışanı,Громадський медичний працівник,Nhân viên y tế cộng đồng,社区健康工作者
وكيل الصحة الريفية,গ্রামীণ স্বাস্থ্য এজেন্ট,Rural Health Agent,Agente de Salud Rural,Agent de santé rurale,ग्रामीण स्वास्थ्य एजेंट,地方保健員,농촌 보건요원,ਪੇਂਡੂ ਸਿਹਤ ਵਰਕਰ,Agente de Saúde Rural,Сельский медработник,Kırsal Sağlık Çalışanı,Сільський медичний працівник,Nhân viên y tế nông thôn,乡村健康工作者
وكيل خدمات المستشفى (HSA),হাসপাতাল পরিষেবা এজেন্ট (HSA),Hospital Service Agent (HSA),Agente de Servicios Hospitalarios (ASH),Agent de service hospitalier (ASH),अस्पताल सेवा एजेंट (एचएसए),病院サービス担当者,병원 서비스 담당자 (HSA),ਹਸਪਤਾਲ ਸੇਵਾ ਕਰਮਚਾਰੀ (HSA),Agente de Serviços Hospitalares (ASH),Сотрудник больничного сервиса,Hastane Hizmetleri Görevlisi (HSA),Агент лікарняного обслуговування (АЛО),Nhân viên phục vụ bệnh viện (HSA),医院服务人员 (HSA)
وكيل أمن المستشفى,হাসপাতাল নিরাপত্তা এজেন্ট,Hospital Security Agent,Agente de Seguridad Hospitalaria,Agent de sécurité de l'hôpital,अस्पताल सुरक्षा एजेंट,病院警備員,병원 보안요원,ਹਸਪਤਾਲ ਸੁਰੱਖਿਆ ਗਾਰਡ,Agente de Segurança Hospitalar,Сотрудник службы безопасности больницы,Hastane Güvenlik Görevlisi,Агент лікарняної охорони,Nhân viên bảo vệ bệnh viện,医院安保人员
وكيل القبول,ভর্তি এজেন্ট,Admissions Agent,Agente de Admisiones,Agent d'admission,प्रवेश एजेंट,入院受付担当,입원 수속 담당자,ਦਾਖਲਾ ਕਰਮਚਾਰੀ,Agente de Admissões,Сотрудник приёмного отделения,Hasta Kabul Görevlisi,Агент з прийому пацієнтів,Nhân viên tiếp nhận hồ sơ nhập viện,入院登记员
مساعد طبي نفسي,চিকিৎসা-মনস্তাত্ত্বিক সহকারী,Medical-Psychological Assistant,Asistente Médico-Psicológico(a),Assistant médico-psychologique,चिकित्सा-मनोवैज्ञानिक सहायक,医療心理アシスタント,의료심리 보조원,ਮੈਡੀਕਲ-ਮਨੋਵਿਗਿਆਨਕ ਸਹਾਇਕ,Assistente Médico-Psicológico(a),Медико-психологический ассистент,Tıbbi-Psikolojik Asistan,Медико-психологічний асистент,Trợ lý y tế - tâm lý,医学心理助理
مساعد الرعاية الطبية المنزلية,মেডিকেল হোম কেয়ার সহকারী,Medical Home Care Assistant,Asistente de Atención Médica a Domicilio,Assistant médical à domicile,मेडिकल होम केयर सहायक,在宅医療アシスタント,재택의료 보조원,ਮੈਡੀਕਲ ਹੋਮ ਕੇਅਰ ਸਹਾਇਕ,Assistente de Cuidado Domiciliar,Ассистент по уходу на дому,Tıbbi Evde Bakım Asistanı,Асистент з догляду на дому,Trợ lý chăm sóc tại nhà,家庭医疗护理助理
مساعد تمريض,নার্সিং সহকারী,Nursing Assistant,Auxiliar de Enfermería,Aide-soignant,नर्सिंग सहायक,看護助手,간호조무사,ਨਰਸਿੰਗ ਸਹਾਇਕ,Auxiliar de Enfermagem,Младшая медсестра / Младший медбрат,Hemşire Yardımcısı,Молодша медична сестра (санітар),Điều dưỡng viên,护士助理 / 护理员
أخصائي الحساسية,অ্যালার্জিস্ট,Allergist,Alergista,Allergologue,एलर्जी,アレルギー専門医,알레르기 전문의,ਐਲਰਜੀ ਦਾ ਮਾਹਿਰ,Alergista,Аллерголог,Alerji Uzmanı,Алерголог,Bác sĩ chuyên dị ứng,过敏症专科医生
سائق سيارة إسعاف,অ্যাম্বুলেন্স চালক,Ambulance Driver,Conductor(a) de Ambulancia,Conducteur d'ambulance,एम्बुलेंस चालक,救急車運転手,구급차 운전기사,ਐਂਬੂਲੈਂਸ ਡਰਾਈਵਰ,Motorista de Ambulância,Водитель скорой помощи,Ambulans Şoförü,Водій швидкої допомоги,Tài xế xe cứu thương,救护车司机
محلل معلوماتية صحية,স্বাস্থ্য তথ্য বিশ্লেষক,Health Informatics Analyst,Analista de Informática de la Salud,Analyste en informatique de la santé,स्वास्थ्य सूचना विज्ञान विश्लेषक,医療情報アナリスト,보건의료 정보 분석가,ਸਿਹਤ ਸੂਚਨਾ ਵਿਸ਼ਲੇਸ਼ਕ,Analista de Informática em Saúde,Аналитик медицинской информатики,Sağlık Bilişimi Analisti,Аналітик з медичної інформатики,Chuyên viên phân tích tin học y tế,健康信息学分析师
أخصائي أمراض الذكورة,অ্যান্ড্রোলজিস্ট,Andrologist,Andrólogo(a),Andrologue,एंड्रोलॉजिस्ट,男性科専門医,남성과 전문의,ਪੁਰਸ਼ ਰੋਗਾਂ ਦਾ ਮਾਹਿਰ,Andrologista,Андролог,Androloji Uzmanı,Андролог,Bác sĩ chuyên nam khoa,男科医生
طبيب تخدير و إنعاش,অ্যানেস্থেসিওলজিস্ট-রিসাসিটেটর,Anesthesiologist-Resuscitator,Anestesista-Reanimador(a),Anesthésiste-Réanimateur,एनेस्थिसियोलॉजिस्ट-रिससिटेटर,麻酔科蘇生医,마취과 의사,ਬੇਹੋਸ਼ੀ ਅਤੇ ਪੁਨਰ-ਸੁਰਜੀਤੀ ਮਾਹਿਰ,Anestesiologista-Reanimador(a),Анестезиолог-реаниматолог,Anestezi ve Reanimasyon Uzmanı,Анестезіолог-реаніматолог,Bác sĩ gây mê - hồi sức,麻醉复苏科医生
أخصائي أوعية دموية,অ্যাঞ্জিওলজিস্ট,Angiologist,Angiólogo(a),Angiologue,एंजियोलॉजिस्ट,血管専門医,혈관 전문의,ਨਾੜੀ ਰੋਗਾਂ ਦਾ ਮਾਹਿਰ,Angiologista,Ангиолог,Anjiyoloji Uzmanı,Ангіолог,Bác sĩ chuyên khoa mạch máu,血管科医生
عالم الأنثروبولوجيا الشرعية,ফরেনসিক নৃতত্ত্ববিদ,Forensic Anthropologist,Antropólogo(a) Forense,Anthropologue judiciaire,फोरेंसिक मानवविज्ञानी,法人類学者,법의인류학자,ਫੋਰੈਂਸਿਕ ਮਾਨਵ-ਵਿਗਿਆਨੀ,Antropólogo(a) Forense,Судебный антрополог,Adli Antropolog,Судовий антрополог,Nhà nhân chủng học pháp y,法医人类学家
أمين الأرشيف الطبي,মেডিকেল আর্কাইভিস্ট,Medical Archivist,Archivista Médico(a),Archiviste médical,चिकित्सा पुरालेखपाल,医療記録専門員,의무기록사,ਮੈਡੀਕਲ ਰਿਕਾਰਡ ਕੀਪਰ,Arquivista Médico(a),Медицинский архивариус,Tıbbi Arşivci,Медичний архівіст,Nhân viên lưu trữ hồ sơ y tế,病案管理员
المعالج بالروائح العطرية,অ্যারোমাথেরাপিস্ট,Aromatherapist,Aromaterapeuta,Aromathérapeute,अरोमाथेरेपिस्ट,アロマセラピスト,아로마테라피스트,ਅਰੋਮਾਥੈਰੇਪਿਸਟ,Aromaterapeuta,Ароматерапевт,Aromaterapist,Ароматерапевт,Chuyên gia trị liệu bằng tinh dầu,芳香治疗师
معالج بالفن,আর্ট থেরাপিস্ট,Art Therapist,Arteterapeuta,Art-thérapeute,कला चिकित्सक,アートセラピスト,예술 치료사,ਕਲਾ ਥੈਰੇਪਿਸਟ,Arteterapeuta,Арт-терапевт,Sanat Terapisti,Арт-терапевт,Nhà trị liệu nghệ thuật,艺术治疗师
مساعد طبي,চিকিৎসা সহকারী,Medical Assistant,Asistente Médico(a),Assistant médical,चिकित्सा सहायक,メディカルアシスタント,의료 보조원,ਮੈਡੀਕਲ ਸਹਾਇਕ,Assistente Médico(a),Ассистент врача,Tıbbi Asistan,Асистент лікаря (фельдшер),Trợ lý y tế,医疗助理
عامل اجتماعي في مجال الصحة,স্বাস্থ্যে সমাজকর্মী,Social Worker in Health,Trabajador(a) Social en Salud,Travailleur social en santé,स्वास्थ्य में सामाजिक कार्यकर्ता,医療ソーシャルワーカー,의료사회복지사,ਸਿਹਤ ਖੇਤਰ ਵਿੱਚ ਸਮਾਜ ਸੇਵਕ,Assistente Social da Saúde,Социальный работник в сфере здравоохранения,Sağlık Alanında Sosyal Hizmet Uzmanı,Соціальний працівник у сфері охорони здоров'я,Nhân viên công tác xã hội trong y tế,医务社会工作者
مساعد طبيب أسنان,ডেন্টাল অ্যাসিস্ট্যান্ট,Dental Assistant,Asistente Dental,Assistante dentaire,दंत सहायक,歯科助手,치과조무사,ਦੰਦਾਂ ਦਾ ਸਹਾਇਕ,Auxiliar de Saúde Bucal,Ассистент стоматолога,Diş Hekimi Asistanı,Асистент стоматолога,Trợ lý nha khoa,牙科助理
زميل أبحاث سريرية,ক্লিনিক্যাল রিসার্চ অ্যাসোসিয়েট,Clinical Research Associate,Asociado(a) de Investigación Clínica,Attaché de recherche clinique,नैदानिक ​​अनुसंधान सहयोगी,臨床研究アソシエイト,임상 연구원,ਕਲੀਨਿਕਲ ਖੋਜ ਸਹਿਯੋਗੀ,Associado(a) de Pesquisa Clínica,Младший научный сотрудник,Klinik Araştırma Görevlisi,Молодший науковий співробітник клінічних досліджень,Cán bộ nghiên cứu lâm sàng,临床研究助理
أخصائي السمع,অডিওলজিস্ট,Audiologist,Audiólogo(a),Audiologiste,ऑडियोलॉजिस्ट,聴覚専門家,청능사,ਸੁਣਨ ਸ਼ਕਤੀ ਦਾ ਮਾਹਿਰ,Fonoaudiólogo(a),Аудиолог / Сурдолог,Odyolog,Аудіолог,Chuyên gia thính học,听力学家
أخصائي أجهزة السمع,হিয়ারিং এইড বিশেষজ্ঞ,Hearing Aid Specialist,Audioprotesista,Spécialiste en prothèses auditives,श्रवण सहायता विशेषज्ञ,補聴器専門家,보청기 전문가,ਸੁਣਨ ਵਾਲੀ ਮਸ਼ੀਨ ਦਾ ਮਾਹਿਰ,Especialista em Aparelhos Auditivos,Специалист по слуховым аппаратам,İşitme Cihazı Uzmanı,Спеціаліст зі слухових апаратів,Chuyên viên máy trợ thính,助听器验配师
مدقق طبي,মেডিকেল অডিটর,Medical Auditor,Auditor(a) Médico(a),Auditeur médical,मेडिकल ऑडिटर,医療監査人,의료감사관,ਮੈਡੀਕਲ ਆਡੀਟਰ,Auditor(a) Médico(a),Медицинский аудитор,Tıbbi Denetçi,Медичний аудитор,Kiểm toán viên y tế,医疗审计员
مدقق الجودة,কোয়ালিটি অডিটর,Quality Auditor,Auditor(a) de Calidad,Auditeur Qualité,गुणवत्ता लेखा परीक्षक,品質監査人,품질감사관,ਗੁਣਵੱਤਾ ਆਡੀਟਰ,Auditor(a) de Qualidade,Аудитор по качеству,Kalite Denetçisi,Аудитор з якості,Kiểm toán viên chất lượng,质量审核员
مساعد رعاية الأطفال,শিশু যত্ন সহকারী,Childcare Assistant,Auxiliar de Puericultura,Assistante maternelle,चाइल्डकेयर सहायक,保育アシスタント,보육사,ਬਾਲ ਸੰਭਾਲ ਸਹਾਇਕ,Assistente de Puericultura,Помощник по уходу за детьми,Çocuk Bakım Asistanı,Асистент з догляду за дитиною,Trợ lý chăm sóc trẻ em,育儿助理
مساعد الحياة الاجتماعية المتخصص في الصحة,স্বাস্থ্যে বিশেষায়িত সামাজিক জীবন সহকারী,Social Life Assistant Specialized in Health,Asistente de Vida Social Especializado(a) en Salud,Assistante de vie sociale spécialisée en santé,स्वास्थ्य में विशेषज्ञता प्राप्त सामाजिक जीवन सहायक,医療分野専門ソーシャルライフアシスタント,보건 분야 사회생활 보조원,ਸਿਹਤ ਸੰਭਾਲ ਵਿੱਚ ਵਿਸ਼ੇਸ਼ ਸਮਾਜਿਕ ਜੀਵਨ ਸਹਾਇਕ,Assistente Social Especializado(a) em Saúde,Социальный ассистент в сфере здравоохранения,Sağlık Alanında Uzmanlaşmış Sosyal Yaşam Asistanı,Асистент соціального життя (спеціалізація: здоров'я),Trợ lý đời sống xã hội chuyên về y tế,健康领域社工助理
عالم أحياء طبية,মেডিকেল বায়োলজিস্ট,Medical Biologist,Biólogo(a) Médico(a),Biologiste médical,चिकित्सा जीवविज्ञानी,医学生物学者,의생명과학자,ਮੈਡੀਕਲ ਜੀਵ-ਵਿਗਿਆਨੀ,Biólogo(a) Médico(a),Медицинский биолог,Tıbbi Biyolog,Медичний біолог,Nhà sinh học y tế,医学生物学家
إحصائي حيوي,বায়োস্ট্যাটিস্টিিয়ান,Biostatistician,Bioestadista,Biostatisticien,जैव सांख्यिकीविद्,生物統計学者,생물통계학자,ਬਾਇਓਸਟੈਟਿਸਟੀਸ਼ੀਅਨ,Bioestatístico(a),Биостатистик,Biyoistatistik Uzmanı,Біостатистик,Nhà thống kê sinh học,生物统计学家
حامل نقالة,স্ট্রেচার বাহক,Stretcher Bearer,Camillero(a),Brancardier,स्ट्रेचर वाहक,担架搬送担当,환자 이송요원,ਸਟਰੈਚਰ ਚੁੱਕਣ ਵਾਲਾ,Maqueiro(a),Санитар-носильщик,Sedye Taşıyıcısı,Санітар-носильник,Người khiêng cáng,担架员
المدير التنفيذي للصحة,স্বাস্থ্য নির্বাহী,Health Executive,Ejecutivo(a) de Salud,Responsable de la santé,स्वास्थ्य कार्यकारी,保健医療エグゼクティブ,보건의료 임원,ਸਿਹਤ ਕਾਰਜਕਾਰੀ,Executivo(a) de Saúde,Руководитель в сфере здравоохранения,Sağlık Yöneticisi,Керівник у сфері охорони здоров'я,Cán bộ điều hành y tế,医疗健康总监
طبيب القلب,কার্ডিওলজিস্ট,Cardiologist,Cardiólogo(a),Cardiologue,हृदय रोग विशेषज्ञ,心臓専門医,심장내과 전문의,ਦਿਲ ਦੇ ਰੋਗਾਂ ਦਾ ਮਾਹਿਰ,Cardiologista,Кардиолог,Kardiyoloji Uzmanı,Кардіолог,Bác sĩ tim mạch,心脏病学专家
مدير الحالة,কেস ম্যানেজার,Case Manager,Gestor(a) de Casos,Gestionnaire de cas,मामला प्रबंधक,ケースマネージャー,케이스 매니저,ਕੇਸ ਮੈਨੇਜਰ,Gerente de Casos,Кейс-менеджер,Vaka Yöneticisi,Кейс-менеджер,Quản lý hồ sơ bệnh án,个案经理
شامان,শামান,Shaman,Chamán,Chaman,जादूगर,シャーマン,샤먼,ਸ਼ਮਨ,Xamã,Шаман,Şaman,Шаман,Thầy lang,萨满
مدير النقل الصحي عن بعد,স্বাস্থ্য দূরবর্তী ট্রান্সমিশন ম্যানেজার,Health Remote Transmission Manager,Gestor(a) de Teletransmisión de Salud,Gestionnaire de transmission à distance de santé,स्वास्थ्य रिमोट ट्रांसमिशन प्रबंधक,医療遠隔送信マネージャー,의료 원격전송 관리자,ਸਿਹਤ ਰਿਮੋਟ ਟ੍ਰਾਂਸਮਿਸ਼ਨ ਮੈਨੇਜਰ,Gerente de Transmissão Remota de Saúde,Менеджер по удалённой передаче данных,Sağlık Verileri Uzaktan İletim Yöneticisi,Менеджер з дистанційної передачі медичних даних,Quản lý truyền dữ liệu y tế từ xa,健康数据远程传输经理
