ar,bn,en,es,fr,hi,ja,ko,pa,pt,ru,tr,uk,vi,zh
مدير الأخلاقيات,এথিক্স ম্যানেজার,Ethics Manager,Responsable de Ética,Responsable de l'éthique,नैतिकता प्रबंधक,倫理マネージャー,윤리 담당자,ਨੈਤਿਕਤਾ ਮੈਨੇਜਰ,Gerente de Ética,Менеджер по этике,Etik Yöneticisi,Менеджер з етики,Quản lý đạo đức y tế,伦理事务经理
طبيب أمراض الروماتيزم,রিউম্যাটোলজিস্ট,Rheumatologist,Reumatólogo(a),Rhumatologue,ह्रुमेटोलॉजिस्ट,リウマチ専門医,류마티스내과 전문의,ਗਠੀਏ ਦਾ ਮਾਹਿਰ,Reumatologista,Ревматолог,Romatoloji Uzmanı,Ревматолог,Bác sĩ thấp khớp,风湿病学家
مدير المخاطر,রিস্ক ম্যানেজার,Risk Manager,Gestor(a) de Riesgos,Gestionnaire des risques,जोखिम प्रबंधक,リスクマネージャー,리스크 관리자,ਜੋਖਮ ਮੈਨੇਜਰ,Gerente de Riscos,Риск-менеджер,Risk Yöneticisi,Ризик-менеджер,Quản lý rủi ro y tế,风险管理师
معالج ترفيهي,বিনোদন থেরাপিস্ট,Recreation Therapist,Terapeuta Recreativo(a),Thérapeute en loisirs,मनोरंजन चिकित्सक,レクリエーションセラピスト,레크리에이션 치료사,ਮਨੋਰੰਜਨ ਥੈਰੇਪਿਸਟ,Terapeuta Recreativo(a),Рекреационный терапевт,Rekreasyon Terapisti,Рекреаційний терапевт,Nhà trị liệu giải trí,娱乐治疗师
أخصائي العلاج الانعكاسي,রিফ্লেক্সোলজিস্ট,Reflexologist,Reflexólogo(a),Réflexologue,रिफ़्लेक्सोलॉजिस्ट,リフレクソロジスト,반사요법사,ਰਿਫਲੈਕਸੋਲੋਜਿਸਟ,Reflexologista,Рефлексотерапевт,Refleksolog,Рефлексотерапевт,Chuyên gia bấm huyệt,足底反射治疗师
مرجع التأمين الصحي,স্বাস্থ্য বীমা রেফারেন্স,Health Insurance Reference,Referente de Seguro de Salud,Référence en matière d'assurance maladie,स्वास्थ्य बीमा संदर्भ,健康保険担当者,건강보험 담당자,ਸਿਹਤ ਬੀਮਾ ਸਲਾਹਕਾਰ,Consultor(a) de Seguro de Saúde,Консультант по медицинскому страхованию,Sağlık Sigortası Danışmanı,Референт з медичного страхування,Tham chiếu bảo hiểm y tế,健康保险顾问
مرجع مسار المريض,রোগীর পাথওয়ে রেফারেন্স,Patient Pathway Reference,Referente de la Ruta del Paciente,Référence du parcours patient,रोगी पथ संदर्भ,患者経路担当者,환자 경로 담당자,ਮਰੀਜ਼ ਮਾਰਗ ਸਲਾਹਕਾਰ,Responsável pela Linha de Cuidado do Paciente,Координатор маршрутизации пациентов,Hasta Bakım Yolu Sorumlusu,Референт з маршруту пацієнта,Người phụ trách lộ trình bệnh nhân,患者路径协调员
متتبع المريض,পেশেন্ট ট্রেসার রেফারেন্স,Patient Tracer Reference,Referente de Trazabilidad del Paciente,Référence du traceur de patients,रोगी अनुरेखक संदर्भ,患者追跡担当者,환자 추적 담당자,ਮਰੀਜ਼ ਟਰੇਸਰ,Responsável pelo Rastreamento de Pacientes,Специалист по отслеживанию пациентов,Hasta Takip Sorumlusu,Референт з відстеження пацієнтів,Người truy dấu bệnh nhân,患者追踪专员
قابلة,মিডওয়াইফ (ধাত্রী),Midwife,Matrón(a),Sage-femme,दाई,助産師,조산사,ਦਾਈ,Parteiro(a),Акушерка,Ebe,Акушерка,Nữ hộ sinh,助产士
قابلة المستشفى,হাসপাতাল মিডওয়াইফ,Hospital Midwife,Matrón(a) de Hospital,Sage-femme d'hôpital,अस्पताल दाई,病院助産師,병원 조산사,ਹਸਪਤਾਲ ਦੀ ਦਾਈ,Parteiro(a) Hospitalar,Больничная акушерка,Hastane Ebesi,Лікарняна акушерка,Nữ hộ sinh bệnh viện,医院助产士
قابلة مستقلة,স্বাধীন মিডওয়াইফ,Independent Midwife,Matrón(a) Independiente,Sage-femme indépendante,स्वतंत्र दाई,開業助産師,개업 조산사,ਸੁਤੰਤਰ ਦਾਈ,Parteiro(a) Autônomo(a),Частная акушерка,Bağımsız Ebe,Незалежна акушерка,Nữ hộ sinh độc lập,独立助产士
القابلة التقليدية,ঐতিহ্যবাহী মিডওয়াইফ,Traditional Midwife,Partero(a) Tradicional,Sage-femme traditionnelle,पारंपरिक दाई,伝統的な助産師,전통 조산사,ਰਵਾਇਤੀ ਦਾਈ,Parteiro(a) Tradicional,Традиционная акушерка,Geleneksel Ebe,Традиційна акушерка,Nữ hộ sinh truyền thống,传统助产士
مسعف أول,ফার্স্ট এইডার,First Aider,Socorrista,Secouriste,पहली मदद करने वाला,救急隊員,응급구조사,ਫਸਟ ਏਡਰ,Socorrista,Специалист по оказанию первой помощи,İlk Yardım Görevlisi,Рятувальник (перша допомога),Nhân viên sơ cứu,急救员
مسعف قتالي,কমব্যাট মেডিক,Combat Medic,Médico(a) de Combate,Médecin de combat,लड़ाकू चिकित्सा,戦闘衛生兵,전투 의무병,ਜੰਗੀ ਮੈਡਿਕ,Médico(a) de Combate,Военный фельдшер,Savaş Hekimi,Бойовий медик,Bác sĩ y tế chiến đấu,军医
سكرتير طبي,মেডিকেল সেক্রেটারি,Medical Secretary,Secretario(a) Médico(a),Secrétaire médicale,चिकित्सा सचिव,医療秘書,의료 비서,ਮੈਡੀਕਲ ਸਕੱਤਰ,Secretário(a) Médico(a),Медицинский секретарь,Tıbbi Sekreter,Медичний секретар,Thư ký y tế,医疗秘书
أخصائي السوفرولوجي,সোফ্রোলজিস্ট,Sophrologist,Sofrólogo(a),Sophrologue,सोफ्रोलॉजिस्ट,ソフロロジスト,소프롤로지스트,ਸੋਫਰੋਲੋਜਿਸਟ,Sofrologista,Софролог,Sofrolog,Софролог,Nhà trị liệu Sophrology,索非洛格治疗师
أخصائي الخصوبة,উর্বরতা বিশেষজ্ঞ,Fertility Specialist,Especialista en Fertilidad,Spécialiste en fertilité,प्रजनन विशेषज्ञ,不妊治療専門家,불임 전문의,ਜਣਨ ਸ਼ਕਤੀ ਦਾ ਮਾਹਿਰ,Especialista em Fertilidade,Специалист по лечению бесплодия / Репродуктолог,Doğurganlık Uzmanı,Спеціаліст з фертильності (Репродуктолог),Bác sĩ hỗ trợ sinh sản,生育专家
أخصائي أنظمة الصحة الرقمية,ডিজিটাল স্বাস্থ্য সিস্টেম বিশেষজ্ঞ,Digital Health Systems Specialist,Especialista en Sistemas de Salud Digital,Spécialiste des systèmes de santé numériques,डिजिटल स्वास्थ्य प्रणाली विशेषज्ञ,デジタルヘルスシステム専門家,디지털 헬스 시스템 전문가,ਡਿਜੀਟਲ ਸਿਹਤ ਪ੍ਰਣਾਲੀ ਦਾ ਮਾਹਿਰ,Especialista em Sistemas de Saúde Digital,Специалист по цифровым системам здравоохранения,Dijital Sağlık Sistemleri Uzmanı,Спеціаліст із цифрових систем охорони здоров’я,Chuyên gia hệ thống y tế số,数字健康系统专家
أخصائي ضعف البصر,স্বল্প দৃষ্টি বিশেষজ্ঞ,Low Vision Specialist,Especialista en Baja Visión,Spécialiste de la basse vision,कम दृष्टि विशेषज्ञ,ロービジョン専門家,저시력 전문가,ਘੱਟ ਨਜ਼ਰ ਦਾ ਮਾਹਿਰ,Especialista em Baixa Visão,Специалист по слабовидению,Az Görme Uzmanı,Спеціаліст зі слабкого зору,Chuyên gia thị lực kém,低视力专家
أخصائي طب النوم,ঘুম ঔষধ বিশেষজ্ঞ,Sleep Medicine Specialist,Especialista en Medicina del Sueño,Spécialiste en médecine du sommeil,नींद चिकित्सा विशेषज्ञ,睡眠医療専門家,수면의학 전문의,ਨੀਂਦ ਦੀ ਦਵਾਈ ਦਾ ਮਾਹਿਰ,Especialista em Medicina do Sono,Специалист по медицине сна / Сомнолог,Uyku Tıbbı Uzmanı,Спеціаліст з медицини сну (Сомнолог),Bác sĩ chuyên y học giấc ngủ,睡眠医学专家
أخصائي اضطرابات الأكل,খাদ্যাভ্যাস ব্যাধি বিশেষজ্ঞ,Eating Disorders Specialist,Especialista en Trastornos de la Alimentación,Spécialiste des troubles de l'alimentation,भोजन विकार विशेषज्ञ,摂食障害専門家,섭식장애 전문가,ਖਾਣ-ਪੀਣ ਦੇ ਵਿਕਾਰਾਂ ਦਾ ਮਾਹਿਰ,Especialista em Transtornos Alimentares,Специалист по расстройствам пищевого поведения,Yeme Bozuklukları Uzmanı,Спеціаліст з розладів харчової поведінки,Bác sĩ chuyên rối loạn ăn uống,饮食失调专家
مشرف إداري صحي,স্বাস্থ্য প্রশাসনিক সুপারভাইজার,Health Administrative Supervisor,Supervisor(a) Administrativo(a) de Salud,Superviseur administratif de la santé,स्वास्थ्य प्रशासनिक पर्यवेक्षक,医療管理スーパーバイザー,보건행정 감독관,ਸਿਹਤ ਪ੍ਰਸ਼ਾਸਨਿਕ ਨਿਗਰਾਨ,Supervisor(a) Administrativo(a) de Saúde,Административный руководитель в здравоохранении,Sağlık İdari Sorumlusu,Адміністративний супервайзер у сфері охорони здоров'я,Giám sát hành chính y tế,卫生行政主管
مشرف الفريق,টিম সুপারভাইজার,Team Supervisor,Supervisor(a) de Equipo,Superviseur d'équipe,टीम पर्यवेक्षक,チームスーパーバイザー,팀 감독관,ਟੀਮ ਨਿਗਰਾਨ,Supervisor(a) de Equipe,Руководитель группы,Ekip Lideri,Керівник групи (супервайзер),Giám sát nhóm y tế,团队主管
فنان الوشم الطبي (إعادة بناء الثدي وما إلى ذلك),মেডিকেল ট্যাটু আর্টিস্ট (স্তন পুনর্গঠন ইত্যাদি),Medical Tattoo Artist (breast reconstruction etc.),Tatuador(a) Médico(a),Tatoueur médical (reconstruction mammaire etc.),मेडिकल टैटू कलाकार (स्तन पुनर्निर्माण आदि),医療タトゥーアーティスト（乳房再建など）,의료 문신 전문가 (유방 재건 등),ਮੈਡੀਕਲ ਟੈਟੂ ਕਲਾਕਾਰ (ਛਾਤੀ ਪੁਨਰ ਨਿਰਮਾਣ ਆਦਿ),Tatuador(a) Médico(a),Мастер медицинского татуажа (реконструкция груди и т.д.),Tıbbi Dövme Sanatçısı (Meme rekonstrüksiyonu vb.),"Майстер медичного татуювання (напр., реконструкція грудей)",Nghệ sĩ xăm y tế (phục hồi ngực...),医疗纹身师 (乳房重建等)
فني غسيل الكلى,ডায়ালাইসিস টেকনিশিয়ান,Dialysis Technician,Técnico(a) de Diálisis,Technicien en dialyse,डायलिसिस तकनीशियन,透析技士,혈액투석 기사,ਡਾਇਲਸਿਸ ਤਕਨੀਸ਼ੀਅਨ,Técnico(a) em Diálise,Техник диализа,Diyaliz Teknisyeni,Технік з діалізу,Kỹ thuật viên lọc máu chạy thận,透析技术员
فني تخطيط كهربية القلب,ইলেক্ট্রোকার্ডিওগ্রাফি টেকনিশিয়ান,Electrocardiography Technician,Técnico(a) en Electrocardiografía,Technicien en électrocardiographie,इलेक्ट्रोकार्डियोग्राफी तकनीशियन,心電図技師,심전도 기사,ਇਲੈਕਟ੍ਰੋਕਾਰਡੀਓਗ੍ਰਾਫੀ ਤਕਨੀਸ਼ੀਅਨ,Técnico(a) em Eletrocardiografia,Техник по ЭКГ,Elektrokardiyografi Teknisyeni,Технік з електрокардіографії,Kỹ thuật viên điện tâm đồ,心电图技术员
فني تخطيط كهربية الدماغ,ইলেক্ট্রোএনসেফালোগ্রাফি টেকনিশিয়ান,Electroencephalography Technician,Técnico(a) en Electroencefalografía,Technicien en électroencéphalographie,इलेक्ट्रोएन्सेफेलोग्राफी तकनीशियन,脳波技師,뇌파 기사,ਇਲੈਕਟ੍ਰੋਐਂਸੈਫਲੋਗ੍ਰਾਫੀ ਤਕਨੀਸ਼ੀਅਨ,Técnico(a) em Eletroencefalografia,Техник по ЭЭГ,Elektroensefalografi Teknisyeni,Технік з електроенцефалографії,Kỹ thuật viên điện não đồ,脑电图技术员
فني غسيل الكلى,হেমোডায়ালাইসিস টেকনিশিয়ান,Hemodialysis Technician,Técnico(a) en Hemodiálisis,Technicien en hémodialyse,हेमोडायलिसिस तकनीशियन,血液透析技士,혈액투석 기사,ਹੀਮੋਡਾਇਆਲਿਸਸ ਤਕਨੀਸ਼ੀਅਨ,Técnico(a) em Hemodiálise,Техник по гемодиализу,Hemodiyaliz Teknisyeni,Технік з гемодіалізу,Kỹ thuật viên lọc máu,血液透析技术员
فني معلومات طبية,মেডিকেল ইনফরমেশন টেকনিশিয়ান,Medical Information Technician,Técnico(a) en Información Médica,Technicien en information médicale,चिकित्सा सूचना तकनीशियन,医療情報技師,의료정보 기술자,ਮੈਡੀਕਲ ਜਾਣਕਾਰੀ ਤਕਨੀਸ਼ੀਅਨ,Técnico(a) de Informação Médica,Техник по медицинской информации,Tıbbi Bilgi Teknisyeni,Технік з медичної інформації,Kỹ thuật viên thông tin y tế,医疗信息技术员
فني مختبر,ল্যাবরেটরি টেকনিশিয়ান,Laboratory Technician,Técnico(a) de Laboratorio,Technicien de laboratoire,प्रयोगशाला तकनीशियन,臨床検査技師,임상병리사,ਪ੍ਰਯੋਗਸ਼ਾਲਾ ਤਕਨੀਸ਼ੀਅਨ,Técnico(a) de Laboratório,Лаборант,Laboratuvar Teknisyeni,Лаборант,Kỹ thuật viên phòng xét nghiệm,实验室技术员
فني صيانة طبية,মেডিকেল রক্ষণাবেক্ষণ টেকনিশিয়ান,Medical Maintenance Technician,Técnico(a) de Mantenimiento Médico,Technicien de maintenance médicale,चिकित्सा रखरखाव तकनीशियन,医療機器メンテナンス技術者,의료기기 유지보수 기술자,ਮੈਡੀਕਲ ਰੱਖ-ਰਖਾਅ ਤਕਨੀਸ਼ੀਅਨ,Técnico(a) de Manutenção Médica,Техник по обслуживанию медоборудования,Tıbbi Bakım Teknisyeni,Технік з обслуговування медичного обладнання,Kỹ thuật viên bảo trì thiết bị y tế,医疗设备维护技术员
فني تعقيم,জীবাণুমুক্তকরণ টেকনিশিয়ান,Sterilization Technician,Técnico(a) de Esterilización,Technicien en stérilisation,नसबंदी तकनीशियन,滅菌技術者,멸균 관리 기술자,ਨਸਬੰਦੀ ਤਕਨੀਸ਼ੀਅਨ,Técnico(a) de Esterilização,Техник по стерилизации,Sterilizasyon Teknisyeni,Технік зі стерилізації,Kỹ thuật viên tiệt trùng,消毒供应技术员
فني أسنان,ডেন্টাল টেকনিশিয়ান,Dental Technician,Técnico(a) Dental,Technicien dentaire,दंत तकनीशियन,歯科技工士,치과기공사,ਡੈਂਟਲ ਤਕਨੀਸ਼ੀਅਨ,Técnico(a) em Prótese Dentária,Зубной техник,Diş Teknisyeni,Зубний технік,Kỹ thuật viên nha khoa,牙科技师
فني أمراض القلب,কার্ডিওলজি টেকনিশিয়ান,Cardiology Technician,Técnico(a) en Cardiología,Technicien en cardiologie,कार्डियोलॉजी तकनीशियन,心臓学技術者,심장학 테크니션,ਕਾਰਡੀਓਲੋਜੀ ਤਕਨੀਸ਼ੀਅਨ,Técnico(a) em Cardiologia,Кардиологический техник,Kardiyoloji Teknisyeni,Кардіологічний технік,Kỹ thuật viên tim mạch,心脏病学技术员
فني علم الوراثة,জেনেটিক্স টেকনিশিয়ান,Genetics Technician,Técnico(a) en Genética,Technicien en génétique,जेनेटिक्स तकनीशियन,遺伝学技術者,유전학 테크니션,ਜੈਨੇਟਿਕਸ ਤਕਨੀਸ਼ੀਅਨ,Técnico(a) em Genética,техник-генетик,Genetik Teknisyeni,Технік-генетик,Kỹ thuật viên di truyền,遗传学技术员
فني التصوير الطبي,মেডিকেল ইমেজিং টেকনিশিয়ান,Medical Imaging Technician,Técnico(a) en Imagen Médica,Technicien en imagerie médicale,मेडिकल इमेजिंग तकनीशियन,医療画像技術者,의료영상 기술자,ਮੈਡੀਕਲ ਇਮੇਜਿੰਗ ਤਕਨੀਸ਼ੀਅਨ,Técnico(a) em Imagem Médica,Техник по медицинской визуализации,Tıbbi Görüntüleme Teknisyeni,Технік з медичної візуалізації,Kỹ thuật viên chẩn đoán hình ảnh y tế,医学影像技术员
فني فيزيولوجيا الأعصاب,নিউরোফিজিওলজি টেকনিশিয়ান,Neurophysiology Technician,Técnico(a) en Neurofisiología,Technicien en neurophysiologie,न्यूरोफिज़ियोलॉजी तकनीशियन,神経生理学技術者,신경생리검사 기사,ਨਿਊਰੋਫਿਜ਼ੀਓਲੋਜੀ ਤਕਨੀਸ਼ੀਅਨ,Técnico(a) em Neurofisiologia,Техник-нейрофизиолог,Nörofizyoloji Teknisyeni,Технік з нейрофізіології,Kỹ thuật viên sinh lý thần kinh,神经生理学技术员
فني طب الطوارئ,জরুরী চিকিৎসা টেকনিশিয়ান,Emergency Medical Technician,Técnico(a) en Emergencias Médicas,Technicien médical d'urgence,आपातकालीन चिकित्सा तकनीशियन,救急救命士,응급구조사,ਐਮਰਜੈਂਸੀ ਮੈਡੀਕਲ ਤਕਨੀਸ਼ੀਅਨ,Técnico(a) de Emergência Médica,Техник скорой медицинской помощи,Acil Tıp Teknisyeni,Технік екстреної медичної допомоги,Kỹ thuật viên cấp cứu y tế,急救医疗技术员
فني جراحة العظام,অর্থোপেডিক টেকনিশিয়ান,Orthopedic Technician,Técnico(a) Ortopédico(a),Technicien orthopédique,ऑर्थोपेडिक तकनीशियन,整形外科技術者,정형외과 테크니션,ਆਰਥੋਪੀਡਿਕ ਤਕਨੀਸ਼ੀਅਨ,Técnico(a) em Ortopedia,Техник-ортопед,Ortopedi Teknisyeni,Технік-ортопед,Kỹ thuật viên chỉnh hình,骨科技师
فني طب عن بعد,টেলিমেডিসিন টেকনিশিয়ান,Telemedicine Technician,Técnico(a) de Telemedicina,Technicien en télémédecine,टेलीमेडिसिन तकनीशियन,遠隔医療技術者,원격의료 기술자,ਟੈਲੀਮੈਡੀਸਨ ਤਕਨੀਸ਼ੀਅਨ,Técnico(a) em Telemedicina,Техник по телемедицине,Teletıp Teknisyeni,Технік з телемедицини,Kỹ thuật viên y tế từ xa,远程医疗技术员
أخصائي علم الموت,থ্যানাটোলজিস্ট,Thanatologist,Tanatólogo(a),Thanatologue,थानाटोलॉजिस्ट,死生学者,죽음학 연구가,ਥੈਨਾਟੋਲੋਜਿਸਟ,Tanatologista,Танатолог,Tanatolog,Танатолог,Nhà nghiên cứu về tử thi,死亡学研究者
معالج زواجي,বৈবাহিক থেরাপিস্ট,Marital Therapist,Terapeuta Matrimonial,Thérapeute conjugal,वैवाहिक चिकित्सक,夫婦セラピスト,부부 치료사,ਵਿਆਹੁਤਾ ਥੈਰੇਪਿਸਟ,Terapeuta Conjugal,Супружеский терапевт,Evlilik Terapisti,Подружній терапевт,Nhà trị liệu hôn nhân,婚姻治疗师
معالج الأزواج,দম্পতি থেরাপিস্ট,Couple Therapist,Terapeuta de Pareja,Thérapeute de couple,युगल चिकित्सक,カップルセラピスト,커플 치료사,ਜੋੜੇ ਦਾ ਥੈਰੇਪਿਸਟ,Terapeuta de Casal,Семейный психотерапевт,Çift Terapisti,Парний терапевт,Nhà trị liệu cặp đôi,夫妻治疗师
معالج عائلي,পারিবারিক থেরাপিস্ট,Family Therapist,Terapeuta Familiar,Thérapeute familial,पारिवारिक चिकित्सक,家族療法士,가족 치료사,ਪਰਿਵਾਰਕ ਥੈਰੇਪਿਸਟ,Terapeuta Familiar,Семейный терапевт,Aile Terapisti,Сімейний терапевт,Nhà trị liệu gia đình,家庭治疗师
معالج تنفسي,রেসপিরেটরি থেরাপিস্ট,Respiratory Therapist,Terapeuta Respiratorio(a),Inhalothérapeute,श्वसन चिकित्सक,呼吸療法士,호흡기 치료사,ਸਾਹ ਪ੍ਰਣਾਲੀ ਦਾ ਥੈਰੇਪਿਸਟ,Terapeuta Respiratório(a),Респираторный терапевт,Solunum Terapisti,Респіраторний терапевт,Chuyên viên trị liệu hô hấp,呼吸治疗师
عالم سموم,টক্সিকোলজিস্ট,Toxicologist,Toxicólogo(a),Toxicologue,विषविज्ञानी,毒物学者,독성학자,ਜ਼ਹਿਰ-ਵਿਗਿਆਨੀ,Toxicologista,Токсиколог,Toksikolog,Токсиколог,Nhà độc chất học,毒理学家
النقل الطبي,মেডিকেল পরিবহন,Medical Transport,Transportista Sanitario(a),Transport médical,चिकित्सा परिवहन,患者搬送担当者,환자 이송 담당자,ਮੈਡੀਕਲ ਟ੍ਰਾਂਸਪੋਰਟ ਕਰਮਚਾਰੀ,Transporte Médico,Медицинский транспорт,Tıbbi Nakil Hizmetleri,Медичний транспортер,Nhân viên vận chuyển y tế,医疗运输人员
طبيب المسالك البولية,ইউরোলজিস্ট,Urologist,Urólogo(a),Urologue,उरोलोजिस्त,泌尿器科医,비뇨의학과 의사,ਯੂਰੋਲੋਜਿਸਟ,Urologista,Уролог,Üroloji Uzmanı,Уролог,Bác sĩ tiết niệu,泌尿科医生
ممثل طبي,মেডিকেল প্রতিনিধি,Medical Representative,Visitador(a) Médico(a),Représentant médical,चिकित्सा प्रतिनिधि,医薬情報担当者 (MR),제약회사 영업사원 (MR),ਮੈਡੀਕਲ ਪ੍ਰਤੀਨਿਧੀ,Representante Farmacêutico(a),Медицинский представитель,Tıbbi Mümessil,Медичний представник,Đại diện y tế,医药代表
طبيب أمراض تناسلية,ভেনেরিওলজিস্ট,Venereologist,Venereólogo(a),Vénéréologue,वेनेरालजिस्ट,性病専門医,성병 전문의,ਵੈਨਰੀਓਲੋਜਿਸਟ,Venereologista,Венеролог,Venerolog,Венеролог,Bác sĩ chuyên bệnh hoa liễu,性病学家
اقتصادي صحي,স্বাস্থ্য অর্থনীতিবিদ,Health Economist,Economista de la Salud,Économiste de la santé,स्वास्थ्य अर्थशास्त्री,医療経済学者,보건경제학자,ਸਿਹਤ ਅਰਥ ਸ਼ਾਸਤਰੀ,Economista da Saúde,Экономист в сфере здравоохранения,Sağlık Ekonomisti,Економіст у сфері охорони здоров'я,Nhà kinh tế y tế,健康经济学家
مربي صحي,স্বাস্থ্য শিক্ষাবিদ,Health Educator,Educador(a) para la Salud,Éducateur en santé,स्वास्थ्य शिक्षक,健康教育者,보건교육사,ਸਿਹਤ ਸਿੱਖਿਅਕ,Educador(a) em Saúde,Инструктор по санитарному просвещению,Sağlık Eğitimcisi,Педагог-валеолог (освітянин у сфері здоров'я),Nhân viên giáo dục sức khỏe,健康教育工作者
المعلم العلاجي,থেরাপিউটিক শিক্ষাবিদ,Therapeutic Educator,Educador(a) Terapéutico(a),Éducateur thérapeutique,चिकित्सीय शिक्षक,治療教育者,치료 교육 전문가,ਇਲਾਜ ਸੰਬੰਧੀ ਸਿੱਖਿਅਕ,Educador(a) Terapêutico(a),Терапевтический педагог,Terapötik Eğitimci,Терапевтичний педагог,Chuyên gia giáo dục trị liệu,治疗教育者
معلم متخصص,বিশেষায়িত শিক্ষাবিদ,Specialized Educator,Educador(a) Especializado(a),Éducateur spécialisé,विशिष्ट शिक्षक,専門教育者,특수 교육 전문가,ਵਿਸ਼ੇਸ਼ ਸਿੱਖਿਅਕ,Educador(a) Especializado(a),Специальный педагог,Uzman Eğitimci,Спеціальний педагог,Giáo viên chuyên biệt về sức khỏe,特殊教育工作者
,,,,,,,,,,,,Giáo viên chuyên biệt về sức khỏe,,